,Path,Automation Name,Activities,Status,Next Run,Last Run Status,Last Run,Last Modified
117,Journeys/Opry,Opry 10 Day Prior Email,Opry 10 Day Prior Email,Scheduled,2024-02-23 11:00:00,Error,2024-02-22 11:00:00,2024-02-22 11:00:00
118,Data Factory Utility Automations,Opry Entertainment Group-645-520000018-PSHist#01,,Ready,--,,--,2023-05-24 11:15:00
119,Data Factory Utility Automations,Opry Entertainment Group-645-520000018-PSHist#02,,Ready,--,Complete,2023-05-24 11:19:00,2023-05-24 11:19:00
120,Data Factory Utility Automations,Opry Entertainment Group-645-520000018-PSMain,,Scheduled,2024-02-22 13:15:00,Complete,2024-02-21 13:25:00,2024-02-21 13:25:00
121,Journeys/Opry,Opry Journeys,"Sync Opry Welcome Dates to Master
Opry Show Upsell
Opry Tour Upsell
Events Sold Out Opry
Opry Welcome Journey Expired
Opry Welcome Journey - Manual Uploads and Uncategorized
Opry Welcome Journey - Web Forms and Sweeps
Opry Welcome Journey - WiFi
Opry Welcome Journey - Retail Ecomm Only
Opry Welcome Journey - Retail POS Only
Updating 3 Attributes from All contacts Step 1 to welcome
Opry Purchase Journey Expired
Opry Pre Journey Expired
Opry Post Expired
Opry Post Expired DE
Opry Pre Arrival Journey Remove (Script)
Opry Pre Arrival Matrix Remove (Script)
Opry Purchase Journey Remove Users (Script)
Opry Purchase Matrix Remove (Script)
Opry Post Journey Remove (Script)
Opry Post Matrix Remove (Script)
Opry Post Matrix removal
Opry Pre-Arrival Journey
Opry Purchase Journey
Opry Post Show Journey
Opry Pre-Arrival Matrix
Opry Purchase Journey Matrix
Opry Post Show Matrix
Pre Arrival Matrix - RYBS
Pre Arrival Matrix - RYMM
Product Matrix Update - RYMM
Opry Purchase Matrix - RYBS
Opry Post Matrix - RYMM
Opry Post Matrix - RYBS
Opry Purchase URL
Opry Purchase Matrix URL
Opry Arrival URL
Opry Arrival Matrix URL
Opry Post URL
Opry Post Matrix URL
Purchase Sold Out
Purchase Matrix Sold Out
Arrival Sold Out
Arrival Matrix Sold Out
Purchase Matrix Missing URL Clean-Up
Arrival Matrix Missing URL Clean-Up
Updating 3 Attributes from All contacts Step 1
Opry Arrival Audit
Opry Post Audit
Opry Purchase Audit",Scheduled,2024-02-22 11:30:00,Complete,2024-02-22 10:42:00,2024-02-22 10:42:00
122,Journeys/Opry,Opry Matrix 1 Day,"Opry Arrival Journey 1 day
Opry Arrival Matrix 1 day
Updating Attributes 1 day from All contacts Step 1",Scheduled,2024-02-22 11:45:00,Complete,2024-02-22 10:46:00,2024-02-22 10:46:00
123,Journeys/Opry,Opry Matrix 10 days,"Opry Arrival Journey 10 days
Opry Arrival Matrix 10 days
Updating Attributes 10 days from All contacts Step 1",Scheduled,2024-02-22 11:45:00,Complete,2024-02-22 10:46:00,2024-02-22 10:46:00
124,Journeys/Opry,Opry Matrix 7 Days,"Opry Arrival Journey 7 days
Opry Arrival Matrix 7 days
Updating Attributes 7 days from All contacts Step 1",Paused Schedule,--,,--,2023-07-26 08:42:00
125,Journeys/Opry,Opry Repeat Journey Daily Run,"Remove from Repeat
Remove from Repeat Staging
Remove from Repeat Application
Repeat Visitor journey Remove purchasers",Scheduled,2024-02-23 00:30:00,Complete,2024-02-22 00:34:00,2024-02-22 00:34:00
126,Journeys/Opry,Opry Repeat Journey Monthly Run,"Opry Show Repeat Visit
Opry Tour Repeat Visit
Opry Show Repeat Visit - without tour
Opry Tour Repeat Visit - without show
Ryman Tour Repeat Visit
Ole Red Nash Repeat Visit
Opry Show and Tour Repeat Visit
Populate Repeat Journey
Populate repeat visitor archive
Find Repeats not on AllSubs
Repeats to All Subs (Extract)
Repeats to All Subs (Transfer)
Repeat Visit to All Subs (Import)",Scheduled,2024-03-05 01:30:00,Complete,2024-02-13 10:23:00,2024-02-13 10:23:00
127,,Opry_Photo_Package_AllContacts_Update,"Opry_Photo_Package (Import)
Opry_Photo_Package_AllContacts_Update",Active File Drop,--,Complete,2024-02-15 08:36:00,2024-02-15 08:36:00
128,Journeys/Opry,Opry-90 day-event-ticket-alert,Opry-90 day-event-ticket-alert,Scheduled,2024-02-23 09:00:00,Complete,2024-02-22 09:00:00,2024-02-22 09:00:00
129,One Time Requests,Photobooth Backfill,"Photbooth Backfill (Import)
Photobooth_Backfill_to_Staging",Ready,--,Complete,2024-01-10 12:33:00,2024-01-10 12:33:00
130,Photobooth,Photobooth Processing,"Photobooth Import (Import)
Photobooth Staging
Photobooth Update Allcontacts
Photobooth Archive
Photobooth staging to forms and sweeps",Active File Drop,--,Complete,2024-02-08 14:41:00,2024-02-08 14:41:00
131,Brokers,Potential Brokers,identify_potential_brokers,Scheduled,2024-02-25 00:00:00,Complete,2024-02-18 00:00:00,2024-02-18 00:00:00
132,Domain Generation/Purchaser,Purchaser Consolidation,"ticket_purchaser_first_and_last_dates
retail_purchasers_first_and_last_purchase_dates
combine_all_retail_purchases
combine_all_ticket_purchases
combine_first_and_last_purchasers
combine_all_purchasers
Populate_retail_purchasers_shared
Populate_ticket_purchasers_shared",Scheduled,--,Complete,2024-02-08 12:51:00,2024-02-08 12:51:00
133,Ready Pay,Ready Pay Optins,"Ready Pay Import (Import)
Ready_Pay_Optins
Ready Pay Update to AllContacts_Step1",Active File Drop,--,Complete,2023-06-12 09:38:00,2023-06-12 09:38:00
